case_label,mood_day_minus_3,mood_day_minus_2,mood_day_minus_1,journal_sentiment_score,stress_score,sleep_score,energy_score,trigger_cluster,next_day_mood_label
Very Sad,1,1,1,-1.0,5,1,1,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,health_sleep,Very Sad
Very Sad,2,1,1,-0.833,5,1,2,health_sleep,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,work_studies,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,money_future,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,work_studies,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,relationships,Very Sad
Very Sad,1,2,1,-0.833,4,2,2,work_studies,Very Sad
Very Sad,1,1,1,-1.0,4,1,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,4,2,2,money_future,Very Sad
Very Sad,1,1,2,-0.833,5,1,2,money_future,Very Sad
Very Sad,2,1,1,-0.833,4,1,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,work_studies,Very Sad
Very Sad,2,1,1,-0.833,5,1,1,growth_positive,Very Sad
Very Sad,2,1,2,-0.667,5,1,2,growth_positive,Very Sad
Very Sad,2,2,1,-0.667,4,1,1,relationships,Very Sad
Very Sad,2,2,1,-0.667,4,2,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,work_studies,Very Sad
Very Sad,1,1,1,-1.0,5,2,2,health_sleep,Very Sad
Very Sad,1,2,2,-0.667,4,2,1,growth_positive,Very Sad
Very Sad,2,1,1,-0.833,5,1,2,money_future,Very Sad
Very Sad,2,2,1,-0.667,5,2,2,relationships,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,health_sleep,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,relationships,Very Sad
Very Sad,1,1,1,-1.0,5,1,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,relationships,Very Sad
Very Sad,1,1,1,-1.0,5,2,1,money_future,Very Sad
Very Sad,2,2,1,-0.667,4,2,1,health_sleep,Very Sad
Very Sad,1,1,2,-0.833,5,2,2,work_studies,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,money_future,Very Sad
Very Sad,1,1,1,-1.0,4,1,2,relationships,Very Sad
Very Sad,2,2,1,-0.667,5,2,2,money_future,Very Sad
Very Sad,1,1,2,-0.833,5,2,2,work_studies,Very Sad
Very Sad,1,1,2,-0.833,5,1,1,health_sleep,Very Sad
Very Sad,1,1,2,-0.833,5,2,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,1,2,health_sleep,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,work_studies,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,health_sleep,Very Sad
Very Sad,2,2,2,-0.5,4,1,3,relationships,Very Sad
Very Sad,1,2,1,-0.833,4,2,1,work_studies,Very Sad
Very Sad,2,1,1,-0.833,4,1,1,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,work_studies,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,relationships,Very Sad
Very Sad,1,1,1,-1.0,5,1,2,health_sleep,Very Sad
Very Sad,1,2,1,-0.833,4,1,1,work_studies,Very Sad
Very Sad,2,1,1,-0.833,4,1,2,money_future,Very Sad
Very Sad,2,1,2,-0.667,4,1,2,health_sleep,Very Sad
Very Sad,2,1,1,-0.833,4,2,2,health_sleep,Very Sad
Very Sad,1,2,1,-0.833,5,2,1,money_future,Very Sad
Very Sad,1,2,2,-0.667,4,2,2,relationships,Very Sad
Very Sad,2,2,1,-0.667,5,1,3,growth_positive,Very Sad
Very Sad,1,1,2,-0.833,4,2,2,work_studies,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,money_future,Very Sad
Very Sad,2,1,1,-0.833,5,1,2,health_sleep,Very Sad
Very Sad,1,1,1,-1.0,5,1,2,relationships,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,money_future,Very Sad
Very Sad,1,2,1,-0.833,4,2,1,relationships,Very Sad
Very Sad,1,2,1,-0.833,4,1,2,growth_positive,Very Sad
Very Sad,1,2,1,-0.833,4,1,2,growth_positive,Very Sad
Very Sad,1,2,1,-0.833,5,1,1,work_studies,Very Sad
Very Sad,1,2,1,-0.833,5,1,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,work_studies,Very Sad
Very Sad,2,1,1,-0.833,5,1,2,work_studies,Very Sad
Very Sad,1,2,1,-0.833,5,2,2,money_future,Very Sad
Very Sad,1,1,1,-1.0,5,1,2,money_future,Very Sad
Very Sad,1,2,2,-0.667,4,2,2,health_sleep,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,health_sleep,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,money_future,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,2,2,money_future,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,money_future,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,health_sleep,Very Sad
Very Sad,2,1,2,-0.667,4,2,1,money_future,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,money_future,Very Sad
Very Sad,1,2,1,-0.833,5,1,2,work_studies,Very Sad
Very Sad,2,1,1,-0.833,5,1,2,health_sleep,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,health_sleep,Very Sad
Very Sad,1,1,1,-1.0,5,2,1,health_sleep,Very Sad
Very Sad,2,1,1,-0.833,4,1,2,money_future,Very Sad
Very Sad,2,1,1,-0.833,5,1,2,relationships,Very Sad
Very Sad,2,1,1,-0.833,5,1,1,money_future,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,money_future,Very Sad
Very Sad,2,1,2,-0.667,5,1,2,relationships,Very Sad
Very Sad,1,2,1,-0.833,5,2,2,relationships,Very Sad
Very Sad,2,2,1,-0.667,5,1,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,relationships,Very Sad
Very Sad,1,2,1,-0.833,4,1,2,work_studies,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,money_future,Very Sad
Very Sad,2,1,1,-0.833,5,1,2,money_future,Very Sad
Very Sad,1,1,2,-0.833,5,1,1,relationships,Very Sad
Very Sad,1,1,1,-1.0,4,1,2,health_sleep,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,work_studies,Very Sad
Very Sad,2,1,1,-0.833,4,1,1,work_studies,Very Sad
Very Sad,2,1,1,-0.833,4,2,1,work_studies,Very Sad
Very Sad,1,1,1,-1.0,4,1,2,money_future,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,growth_positive,Very Sad
Very Sad,2,1,1,-0.833,5,1,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,2,2,relationships,Very Sad
Very Sad,1,1,2,-0.833,4,2,2,relationships,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,5,2,1,health_sleep,Very Sad
Very Sad,2,2,1,-0.667,5,2,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,4,1,2,growth_positive,Very Sad
Very Sad,2,1,1,-0.833,4,1,2,relationships,Very Sad
Very Sad,1,1,1,-1.0,4,1,1,relationships,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,relationships,Very Sad
Very Sad,1,2,1,-0.833,5,1,1,growth_positive,Very Sad
Very Sad,1,2,2,-0.667,4,2,2,work_studies,Very Sad
Very Sad,2,1,1,-0.833,4,2,2,growth_positive,Very Sad
Very Sad,1,1,1,-1.0,4,1,2,work_studies,Very Sad
Very Sad,1,1,1,-1.0,5,1,2,money_future,Very Sad
Very Sad,2,1,1,-0.833,5,1,2,work_studies,Very Sad
Very Sad,1,1,1,-1.0,5,1,1,money_future,Very Sad
Very Sad,1,2,2,-0.667,4,1,2,money_future,Very Sad
Very Sad,2,1,1,-0.833,5,1,1,money_future,Very Sad
Very Sad,1,1,2,-0.833,5,2,2,relationships,Very Sad
Very Sad,2,2,1,-0.667,5,1,1,relationships,Very Sad
Very Sad,2,1,1,-0.833,5,1,1,relationships,Very Sad
