pattern_label,entry_emotion,entry_sentiment,dominant_trigger,time_bucket,mood_swing_index,pattern_confidence
Recovery,joy,positive,relationships,Afternoon,0.161,55
Recovery,surprise,neutral,social_media,Late Night,0.632,88
Recovery,love,negative,time_pressure,Late Night,0.739,59
Recovery,surprise,neutral,time_pressure,Late Night,0.922,79
Recovery,surprise,negative,social_media,Afternoon,0.84,91
Recovery,surprise,positive,time_pressure,Afternoon,0.45,57
Recovery,surprise,negative,social_media,Morning,0.743,91
Recovery,fear,neutral,growth_positive,Afternoon,0.832,86
Recovery,surprise,neutral,social_media,Afternoon,0.952,70
Recovery,love,positive,work_studies,Morning,0.915,67
Recovery,fear,positive,relationships,Morning,0.556,67
Recovery,joy,neutral,relationships,Afternoon,0.744,79
Recovery,anger,negative,time_pressure,Evening,0.887,75
Recovery,fear,neutral,health_sleep,Afternoon,0.23,96
Recovery,surprise,negative,work_studies,Evening,0.375,79
Recovery,fear,neutral,social_media,Evening,0.551,90
Recovery,joy,negative,social_media,Evening,0.336,73
Recovery,sadness,positive,work_studies,Afternoon,0.58,91
Recovery,surprise,positive,health_sleep,Evening,0.818,69
Recovery,surprise,negative,work_studies,Evening,0.878,73
Recovery,sadness,neutral,social_media,Morning,0.81,70
Recovery,surprise,negative,health_sleep,Evening,0.647,89
Recovery,love,negative,work_studies,Late Night,0.646,81
Recovery,anger,negative,health_sleep,Evening,0.31,84
Recovery,anger,positive,health_sleep,Afternoon,0.111,63
Recovery,joy,negative,social_media,Morning,0.397,55
Recovery,sadness,positive,health_sleep,Evening,0.546,57
Recovery,sadness,positive,growth_positive,Morning,0.313,67
Recovery,fear,neutral,work_studies,Morning,0.45,74
Recovery,joy,neutral,growth_positive,Late Night,0.35,64
Recovery,love,positive,social_media,Evening,0.394,57
Recovery,fear,neutral,social_media,Afternoon,0.258,55
Recovery,joy,neutral,growth_positive,Afternoon,0.692,74
Recovery,anger,neutral,growth_positive,Morning,0.298,95
Recovery,fear,positive,work_studies,Evening,0.386,86
Recovery,joy,negative,work_studies,Afternoon,0.467,55
Recovery,fear,negative,work_studies,Evening,0.856,62
Recovery,love,positive,health_sleep,Afternoon,0.359,69
Recovery,surprise,neutral,health_sleep,Evening,0.156,56
Recovery,sadness,positive,health_sleep,Afternoon,0.89,65
Recovery,surprise,positive,health_sleep,Afternoon,0.934,89
Recovery,anger,neutral,work_studies,Evening,0.983,86
Recovery,sadness,negative,work_studies,Afternoon,0.224,72
Recovery,love,positive,time_pressure,Morning,0.147,60
Recovery,love,neutral,relationships,Afternoon,0.714,60
Recovery,joy,negative,social_media,Late Night,0.552,74
Recovery,surprise,positive,growth_positive,Morning,0.819,96
Recovery,sadness,neutral,relationships,Morning,0.741,94
Recovery,surprise,negative,growth_positive,Morning,0.662,91
Recovery,fear,neutral,social_media,Morning,0.537,70
Recovery,joy,neutral,work_studies,Morning,0.197,72
Recovery,sadness,neutral,work_studies,Late Night,0.722,58
Recovery,joy,neutral,relationships,Morning,0.949,55
Recovery,anger,neutral,social_media,Afternoon,0.834,81
Recovery,anger,neutral,relationships,Late Night,0.957,96
Recovery,surprise,positive,growth_positive,Morning,0.655,67
Recovery,surprise,positive,growth_positive,Late Night,0.271,78
Recovery,sadness,neutral,growth_positive,Afternoon,0.649,63
Recovery,anger,neutral,growth_positive,Afternoon,0.146,95
Recovery,anger,negative,relationships,Late Night,0.719,84
Recovery,love,neutral,work_studies,Late Night,0.5,59
Recovery,sadness,negative,social_media,Evening,0.824,56
Recovery,joy,positive,work_studies,Evening,0.98,83
Recovery,sadness,negative,health_sleep,Afternoon,0.684,65
Recovery,anger,neutral,social_media,Late Night,0.825,84
Recovery,surprise,positive,work_studies,Late Night,0.601,90
Recovery,love,negative,social_media,Late Night,0.845,91
Recovery,sadness,positive,growth_positive,Afternoon,0.837,64
Recovery,love,neutral,relationships,Evening,0.141,55
Recovery,sadness,negative,work_studies,Late Night,0.878,88
Recovery,surprise,negative,relationships,Morning,0.19,82
Recovery,surprise,neutral,health_sleep,Afternoon,0.408,89
Recovery,anger,neutral,work_studies,Morning,0.467,73
Recovery,anger,neutral,growth_positive,Afternoon,0.736,90
Recovery,joy,negative,time_pressure,Morning,0.407,82
Recovery,anger,neutral,time_pressure,Morning,0.859,64
Recovery,love,positive,health_sleep,Late Night,0.607,61
Recovery,anger,positive,health_sleep,Evening,0.959,77
Recovery,sadness,positive,social_media,Evening,0.836,56
Recovery,love,neutral,health_sleep,Late Night,0.641,87
Recovery,love,neutral,health_sleep,Afternoon,0.206,66
Recovery,joy,neutral,relationships,Afternoon,0.139,78
Recovery,fear,negative,relationships,Morning,0.984,71
Recovery,anger,positive,relationships,Evening,0.493,94
Recovery,anger,positive,social_media,Late Night,0.772,70
Recovery,love,negative,work_studies,Evening,0.99,73
Recovery,surprise,neutral,growth_positive,Evening,0.88,91
Recovery,surprise,positive,growth_positive,Morning,0.634,72
Recovery,anger,negative,relationships,Morning,0.264,88
Recovery,sadness,positive,work_studies,Late Night,0.9,91
Recovery,anger,neutral,relationships,Evening,0.918,66
Recovery,love,positive,health_sleep,Evening,0.7,84
Recovery,anger,positive,time_pressure,Late Night,0.767,55
Recovery,anger,neutral,relationships,Evening,0.121,74
Recovery,fear,neutral,growth_positive,Late Night,0.739,59
Recovery,fear,positive,social_media,Afternoon,0.556,59
Recovery,joy,neutral,relationships,Afternoon,0.413,65
Recovery,joy,positive,social_media,Evening,0.443,70
Recovery,joy,positive,time_pressure,Late Night,0.432,78
Recovery,fear,positive,growth_positive,Late Night,0.881,55
Recovery,joy,neutral,relationships,Afternoon,0.282,92
Recovery,joy,positive,relationships,Late Night,0.84,55
Recovery,fear,neutral,growth_positive,Evening,0.853,76
Recovery,surprise,negative,social_media,Evening,0.864,71
Recovery,fear,neutral,time_pressure,Afternoon,0.406,64
Recovery,surprise,neutral,health_sleep,Late Night,0.831,78
Recovery,fear,negative,relationships,Morning,0.691,62
Recovery,fear,negative,time_pressure,Late Night,0.776,84
Recovery,fear,negative,work_studies,Late Night,0.291,79
Recovery,anger,negative,social_media,Late Night,0.203,62
Recovery,joy,positive,time_pressure,Late Night,0.514,79
Recovery,love,positive,social_media,Afternoon,0.353,92
Recovery,surprise,negative,health_sleep,Afternoon,0.38,67
Recovery,fear,neutral,health_sleep,Evening,0.175,81
Recovery,sadness,neutral,social_media,Afternoon,0.999,93
Recovery,anger,negative,time_pressure,Evening,0.162,68
Recovery,sadness,neutral,health_sleep,Late Night,0.765,58
Recovery,joy,positive,time_pressure,Late Night,0.53,57
Recovery,anger,positive,relationships,Evening,0.133,76
Recovery,love,neutral,work_studies,Late Night,0.705,78
Recovery,anger,neutral,growth_positive,Morning,0.665,80
Recovery,joy,neutral,relationships,Late Night,0.371,86
Recovery,fear,positive,social_media,Evening,0.87,80
Recovery,anger,negative,work_studies,Afternoon,0.867,67
Recovery,surprise,positive,relationships,Afternoon,0.584,82
Recovery,fear,positive,health_sleep,Late Night,0.189,94
Recovery,surprise,positive,work_studies,Late Night,0.301,79
Recovery,surprise,negative,time_pressure,Late Night,0.511,93
Recovery,joy,negative,growth_positive,Morning,0.938,65
Recovery,fear,neutral,time_pressure,Afternoon,0.934,67
Recovery,fear,negative,growth_positive,Late Night,0.471,71
Recovery,fear,neutral,time_pressure,Late Night,0.417,85
Recovery,surprise,positive,time_pressure,Evening,0.125,65
Recovery,sadness,negative,work_studies,Afternoon,0.836,71
Recovery,love,neutral,relationships,Evening,0.754,66
Recovery,anger,neutral,relationships,Morning,0.51,72
Recovery,love,neutral,health_sleep,Late Night,0.187,88
Recovery,surprise,positive,work_studies,Evening,0.926,85
Recovery,love,positive,social_media,Afternoon,0.283,95
Recovery,joy,negative,work_studies,Afternoon,0.669,62
Recovery,anger,negative,time_pressure,Late Night,0.109,67
Recovery,sadness,neutral,growth_positive,Morning,0.58,76
Recovery,joy,neutral,social_media,Afternoon,0.589,79
Recovery,joy,negative,social_media,Late Night,0.721,74
Recovery,love,neutral,social_media,Evening,0.475,91
Recovery,joy,positive,work_studies,Afternoon,0.112,89
Recovery,love,negative,relationships,Late Night,0.292,96
Recovery,joy,negative,work_studies,Evening,0.793,61
Recovery,fear,positive,time_pressure,Late Night,0.672,61
Recovery,sadness,positive,time_pressure,Afternoon,0.395,88
Recovery,anger,positive,social_media,Late Night,0.179,55
Recovery,anger,neutral,work_studies,Morning,0.383,96
Recovery,fear,negative,growth_positive,Late Night,0.424,71
Recovery,surprise,positive,health_sleep,Evening,0.787,70
Recovery,love,negative,work_studies,Afternoon,0.585,93
Recovery,sadness,negative,social_media,Afternoon,0.404,73
Recovery,anger,neutral,relationships,Evening,0.809,89
Recovery,surprise,neutral,work_studies,Evening,0.874,83
Recovery,sadness,neutral,work_studies,Morning,0.632,93
Recovery,anger,positive,time_pressure,Morning,0.79,77
Recovery,surprise,negative,growth_positive,Afternoon,0.847,78
Recovery,surprise,neutral,time_pressure,Late Night,0.305,68
Recovery,joy,negative,work_studies,Afternoon,0.565,60
Recovery,fear,positive,time_pressure,Late Night,0.306,60
Recovery,fear,positive,health_sleep,Afternoon,0.994,90
Recovery,anger,negative,social_media,Afternoon,0.455,95
Recovery,anger,negative,work_studies,Morning,0.814,76
Recovery,surprise,positive,growth_positive,Afternoon,0.343,62
Recovery,fear,positive,social_media,Afternoon,0.281,75
Recovery,fear,positive,work_studies,Afternoon,0.336,67
Recovery,sadness,negative,time_pressure,Morning,0.797,66
Recovery,joy,negative,time_pressure,Evening,0.655,59
Recovery,sadness,neutral,social_media,Late Night,0.102,87
Recovery,sadness,neutral,social_media,Late Night,0.79,87
Recovery,fear,positive,health_sleep,Evening,0.433,74
Recovery,surprise,negative,health_sleep,Morning,0.708,58
Recovery,fear,negative,growth_positive,Morning,0.53,55
Recovery,surprise,neutral,time_pressure,Morning,0.594,82
Recovery,fear,negative,relationships,Afternoon,0.68,75
Recovery,love,positive,relationships,Evening,0.958,86
Recovery,joy,negative,growth_positive,Morning,0.946,78
Recovery,surprise,neutral,time_pressure,Afternoon,0.321,56
Recovery,fear,neutral,work_studies,Morning,0.775,60
Recovery,sadness,neutral,health_sleep,Afternoon,0.163,67
Recovery,joy,positive,time_pressure,Late Night,0.244,87
Recovery,anger,negative,health_sleep,Morning,0.588,81
Recovery,love,positive,health_sleep,Evening,0.126,72
Recovery,sadness,positive,time_pressure,Afternoon,0.557,94
Recovery,anger,neutral,social_media,Morning,0.347,73
Recovery,love,negative,work_studies,Morning,0.693,88
Recovery,surprise,neutral,growth_positive,Afternoon,0.626,59
Recovery,joy,negative,health_sleep,Late Night,0.546,77
Recovery,love,negative,health_sleep,Afternoon,0.976,71
Recovery,fear,negative,time_pressure,Late Night,0.939,80
Recovery,love,positive,social_media,Afternoon,0.149,56
Recovery,surprise,negative,health_sleep,Late Night,0.113,87
Recovery,fear,negative,relationships,Late Night,0.864,72
Recovery,sadness,neutral,growth_positive,Evening,0.115,88
Recovery,sadness,negative,growth_positive,Late Night,0.128,72
Recovery,surprise,negative,relationships,Evening,0.247,70
Recovery,anger,neutral,social_media,Late Night,0.666,66
Recovery,joy,positive,social_media,Evening,0.31,89
Recovery,joy,negative,relationships,Late Night,0.858,92
Recovery,surprise,neutral,relationships,Afternoon,0.106,62
Recovery,love,negative,work_studies,Morning,0.794,84
Recovery,anger,neutral,health_sleep,Afternoon,0.694,92
Recovery,love,negative,time_pressure,Late Night,0.786,82
Recovery,joy,positive,growth_positive,Evening,0.263,57
Recovery,love,neutral,health_sleep,Late Night,0.775,76
Recovery,anger,neutral,social_media,Evening,0.669,68
Recovery,love,neutral,work_studies,Evening,0.295,81
Recovery,sadness,negative,time_pressure,Morning,0.942,79
Recovery,fear,neutral,work_studies,Evening,0.803,83
Recovery,surprise,neutral,social_media,Morning,0.41,74
Recovery,anger,negative,health_sleep,Afternoon,0.434,66
Recovery,anger,neutral,work_studies,Evening,0.592,90
Recovery,fear,negative,relationships,Afternoon,0.187,87
Recovery,love,positive,work_studies,Morning,0.412,85
Recovery,fear,neutral,time_pressure,Evening,0.823,59
Recovery,love,negative,work_studies,Late Night,0.39,86
Recovery,joy,negative,work_studies,Late Night,0.91,83
Recovery,anger,neutral,growth_positive,Morning,0.127,80
Recovery,fear,positive,health_sleep,Late Night,0.914,72
Recovery,fear,positive,work_studies,Afternoon,0.945,76
Recovery,surprise,neutral,growth_positive,Late Night,0.589,81
Recovery,anger,positive,relationships,Late Night,0.596,81
Recovery,fear,negative,health_sleep,Late Night,0.855,56
Recovery,sadness,positive,work_studies,Morning,0.675,65
Recovery,anger,negative,social_media,Late Night,0.174,72
Recovery,fear,neutral,social_media,Evening,0.909,61
Recovery,love,neutral,relationships,Morning,0.638,81
Recovery,love,positive,growth_positive,Afternoon,0.533,81
Recovery,sadness,neutral,social_media,Morning,0.56,69
Recovery,fear,positive,work_studies,Evening,0.633,55
Recovery,sadness,positive,health_sleep,Morning,0.349,70
Recovery,sadness,negative,health_sleep,Afternoon,0.345,86
Recovery,anger,neutral,growth_positive,Morning,0.192,63
Recovery,anger,neutral,time_pressure,Late Night,0.947,87
Recovery,anger,positive,work_studies,Evening,0.703,83
Recovery,fear,negative,work_studies,Late Night,0.282,75
Recovery,love,positive,social_media,Morning,0.635,80
Recovery,sadness,neutral,growth_positive,Late Night,0.56,80
Recovery,joy,positive,social_media,Morning,0.609,90
Recovery,sadness,neutral,growth_positive,Evening,0.796,72
Recovery,joy,positive,time_pressure,Morning,0.701,69
Recovery,anger,neutral,social_media,Late Night,0.354,95
Recovery,sadness,negative,growth_positive,Evening,0.155,87
Recovery,anger,neutral,relationships,Afternoon,0.862,74
Recovery,love,negative,growth_positive,Evening,0.931,66
Recovery,love,negative,time_pressure,Late Night,0.703,82
