avg_mood_score,mood_variability,journal_negative_ratio,stress_mean,anxiety_mean,support_mean,stress_index,emotional_stability,positivity_ratio,confidence_score
1.72,0.651,0.011,3.94,2.347,3.564,73,67,99,92
1.595,0.435,0.54,2.501,1.081,4.499,49,70,46,96
1.096,0.81,0.582,4.481,1.529,1.94,90,31,42,78
3.722,0.905,0.668,1.589,2.436,1.556,33,72,33,74
1.159,0.527,0.874,4.663,3.992,3.735,100,49,13,96
1.68,0.441,0.345,2.691,3.587,4.853,72,77,65,96
1.565,0.344,0.413,4.192,3.871,1.26,100,47,59,85
4.451,0.38,0.24,4.85,1.975,1.123,67,99,76,83
1.172,0.506,0.911,2.613,1.382,1.637,64,32,9,83
4.088,0.393,0.345,1.596,4.966,3.141,49,100,66,95
3.088,0.711,0.891,4.564,1.803,4.334,84,84,11,95
2.159,0.533,0.471,4.314,3.401,1.357,95,53,53,81
4.074,0.9,0.079,4.333,2.82,2.309,67,93,92,79
1.912,0.614,0.09,3.043,4.627,3.252,81,68,91,91
4.989,0.202,0.222,2.553,1.158,1.198,17,100,78,88
2.13,0.91,0.019,1.591,2.902,3.506,38,68,98,86
4.228,0.316,0.958,1.459,4.938,1.013,58,86,4,84
2.003,0.282,0.294,4.155,1.843,1.001,75,56,71,85
4.388,0.895,0.183,3.101,3.51,2.264,53,97,82,78
2.616,0.485,0.072,3.893,2.424,3.532,67,86,93,95
3.881,0.74,0.118,1.447,1.869,4.064,13,100,88,93
2.231,0.855,0.955,2.427,3.628,2.552,76,50,5,81
4.601,0.313,0.871,2.314,4.052,1.225,58,96,13,85
1.394,0.437,0.693,1.507,2.647,4.619,53,65,31,96
3.585,0.568,0.245,4.816,3.582,2.128,89,88,76,85
1.687,0.41,0.333,2.077,2.936,3.224,56,64,67,95
3.476,0.577,0.028,4.931,4.857,4.906,100,100,97,96
3.469,0.156,0.663,4.983,4.452,1.419,100,83,34,90
4.836,0.406,0.397,3.37,4.52,1.602,68,100,60,85
4.99,0.866,0.95,4.419,2.854,1.935,78,95,5,77
2.106,0.244,0.301,2.39,3.037,4.169,58,84,70,96
4.188,0.62,0.661,2.799,2.797,4.623,52,100,34,96
1.277,0.437,0.86,3.841,2.625,4.253,95,57,14,96
1.625,0.87,0.709,2.931,3.438,1.397,82,33,29,74
2.109,0.778,0.216,1.912,4.509,2.226,63,58,78,81
2.03,0.593,0.299,3.215,3.592,1.543,77,54,70,81
4.094,0.809,0.587,1.143,3.073,3.004,28,94,41,85
4.563,0.209,0.462,3.742,2.292,1.686,56,100,54,90
1.318,0.162,0.406,4.09,3.477,1.353,98,47,59,89
3.082,0.364,0.63,1.656,2.052,4.709,35,98,37,96
3.1,0.568,0.013,1.397,3.979,1.01,38,73,99,78
1.981,0.632,0.919,1.198,1.657,3.515,38,59,8,92
4.16,0.243,0.941,3.967,2.693,4.043,76,100,6,96
4.825,0.775,0.233,1.977,2.556,2.176,23,100,77,81
3.033,0.101,0.756,4.33,4.29,4.378,100,99,24,96
1.814,0.405,0.549,2.907,2.48,1.233,68,48,45,83
1.782,0.471,0.307,3.868,2.493,4.529,79,76,69,96
4.963,0.842,0.27,2.136,2.842,3.694,28,100,73,88
1.292,0.322,0.004,3.001,1.699,4.497,55,74,100,96
1.66,0.42,0.677,3.659,2.919,2.683,88,55,32,92
3.098,0.823,0.772,2.202,4.619,2.301,72,67,23,80
1.174,0.641,0.539,3.127,1.696,1.131,68,31,46,77
1.48,0.466,0.021,2.67,2.785,4.595,59,75,98,96
4.755,0.29,0.066,2.353,3.696,2.31,38,100,93,92
4.625,0.257,0.148,3.004,4.454,3.959,59,100,85,96
1.054,0.807,0.589,4.621,3.268,3.834,100,46,41,90
4.926,0.609,0.083,3.502,4.373,2.627,62,100,92,87
2.328,0.695,0.291,1.326,2.725,4.043,36,77,71,94
4.889,0.861,0.921,2.597,1.775,1.178,39,88,8,73
2.53,0.249,0.705,1.371,2.254,1.867,38,67,29,91
3.323,0.75,0.474,2.076,2.354,2.387,40,78,53,82
2.514,0.211,0.731,1.126,2.304,1.983,36,68,27,92
2.404,0.617,0.368,1.231,4.289,1.903,51,62,63,83
3.576,0.304,0.424,1.124,1.104,4.982,9,100,58,96
1.311,0.129,0.671,2.533,3.446,2.343,78,52,33,96
3.582,0.832,0.265,1.273,1.517,2.921,12,88,74,84
2.597,0.837,0.538,4.486,4.396,2.353,100,62,46,80
4.855,0.937,0.606,2.242,1.607,3.292,25,100,39,84
3.889,0.493,0.797,1.904,4.756,4.359,63,100,20,96
3.696,0.821,0.731,3.52,2.309,4.623,64,97,27,94
2.841,0.349,0.327,2.975,3.7,2.765,68,83,67,94
4.585,0.877,0.03,1.794,3.039,3.045,23,100,97,84
2.429,0.502,0.876,1.814,3.162,4.94,59,82,12,96
3.862,0.694,0.245,2.032,2.155,3.945,28,100,75,93
1.298,0.889,0.867,3.209,1.308,3.226,71,39,13,84
2.603,0.617,0.568,1.105,2.216,4.363,30,82,43,96
2.833,0.244,0.155,4.401,4.494,2.602,96,86,84,95
4.476,0.515,0.563,2.125,4.023,3.299,50,100,44,93
4.854,0.309,0.299,3.707,1.661,1.136,43,100,70,85
3.033,0.409,0.28,2.725,2.684,2.934,52,87,72,93
3.685,0.783,0.695,2.432,4.252,1.904,66,77,30,79
2.425,0.68,0.301,4.78,3.43,4.878,97,85,70,96
2.121,0.117,0.754,4.041,4.955,2.982,100,71,25,96
4.62,0.298,0.773,2.249,1.765,1.603,32,100,23,88
4.372,0.822,0.585,1.331,2.194,3.112,20,99,41,85
2.906,0.58,0.799,3.492,1.463,4.069,63,83,20,96
3.823,0.309,0.531,2.299,3.291,1.954,50,92,47,90
2.019,0.602,0.449,2.92,1.716,4.434,57,74,55,96
2.486,0.894,0.942,3.269,4.746,2.565,99,54,6,80
1.417,0.989,0.555,3.089,2.757,1.321,77,29,44,71
3.034,0.697,0.705,2.972,3.92,3.566,77,80,29,91
4.218,0.628,0.607,2.48,4.221,4.582,60,100,39,96
2.287,0.928,0.823,3.651,3.377,2.255,90,49,18,78
3.836,0.781,0.489,3.784,1.679,1.193,56,77,51,75
3.614,0.422,0.025,3.721,4.168,2.315,73,96,98,89
1.569,0.857,0.59,2.721,2.454,3.716,67,53,41,88
3.089,0.697,0.379,3.044,2.2,3.39,54,84,62,90
3.92,0.142,0.872,4.754,3.799,3.951,100,100,13,96
2.963,0.834,0.673,1.655,3.786,1.692,54,61,33,76
4.374,0.203,0.986,4.448,2.587,2.597,82,100,1,96
1.09,0.205,0.753,1.602,3.37,3.759,66,57,25,96
3.598,0.342,0.052,1.554,2.22,3.349,19,100,95,96
3.674,0.58,0.427,4.229,1.895,2.571,66,90,57,87
2.362,0.275,0.506,1.193,1.639,4.212,27,85,49,96
1.247,0.535,0.668,2.61,2.644,2.764,72,45,33,90
1.241,0.218,0.359,4.642,2.784,3.655,99,64,64,96
3.746,0.672,0.608,2.853,4.492,1.614,73,79,39,80
2.965,0.259,0.667,1.012,1.892,4.715,25,98,33,96
1.54,0.907,0.362,3.419,1.378,2.862,63,48,64,82
2.852,0.141,0.145,4.238,4.797,1.152,96,77,86,89
4.819,0.801,0.145,1.119,4.198,4.421,24,100,85,94
2.127,0.411,0.537,1.875,1.92,1.634,43,57,46,86
4.889,0.908,0.584,3.955,3.922,2.323,75,100,42,79
4.139,0.083,0.405,2.442,4.838,1.404,62,100,60,92
1.264,0.336,0.03,1.204,3.969,4.346,49,72,97,96
2.893,0.263,0.003,2.416,4.13,3.621,57,97,100,96
1.183,0.211,0.674,2.569,4.774,1.028,93,37,33,86
3.182,0.912,0.805,2.976,2.416,2.717,62,70,20,81
3.639,0.616,0.181,3.725,3.207,3.913,66,100,82,95
1.504,0.189,0.111,3.026,2.193,2.906,61,67,89,96
3.609,0.903,0.43,3.496,2.984,1.314,66,72,57,73
2.654,0.317,0.108,3.293,4.42,4.445,78,97,89,96
4.342,0.858,0.205,2.01,1.148,2.59,13,99,80,81
4.458,0.106,0.238,3.765,2.239,1.348,52,100,76,91
1.305,0.741,0.122,2.369,3.185,4.847,62,66,88,96
4.6,0.212,0.357,1.742,2.734,1.704,26,100,64,90
3.049,0.612,0.216,2.121,1.545,4.34,29,95,78,96
1.088,0.279,0.527,2.255,3.108,1.974,69,44,47,91
2.461,0.882,0.456,1.713,2.435,3.473,41,68,54,86
1.631,0.638,0.014,4.589,1.314,3.091,74,62,99,89
1.066,0.927,0.717,1.39,1.59,1.16,44,20,28,71
2.937,0.188,0.93,4.147,3.123,4.434,93,93,7,96
1.439,0.623,0.962,3.891,2.858,1.911,99,36,4,82
2.253,0.21,0.373,2.272,4.932,3.299,75,79,63,96
3.24,0.098,0.015,1.274,4.468,3.98,39,100,99,96
2.036,0.634,0.447,4.63,2.29,3.129,90,63,55,90
2.724,0.748,0.026,2.889,2.403,1.464,49,66,97,77
2.344,0.27,0.167,3.105,4.552,2.072,80,73,83,91
1.945,0.585,0.658,2.488,1.698,3.268,54,61,34,91
2.841,0.638,0.516,4.023,1.545,3.469,67,80,48,91
1.806,0.104,0.245,1.39,4.665,1.667,59,62,76,93
3.664,0.597,0.945,2.645,3.549,4.96,67,100,6,96
1.146,0.653,0.557,1.05,2.656,2.371,45,39,44,85
1.483,0.8,0.482,2.456,4.959,2.389,87,43,52,81
3.363,0.143,0.833,3.989,4.52,1.038,99,76,17,88
1.183,0.228,0.318,1.497,3.244,3.633,53,63,68,96
3.484,0.208,0.8,3.466,3.421,3.971,78,100,20,96
1.205,0.961,0.604,1.839,1.805,3.173,50,39,40,82
2.875,0.585,0.749,1.448,4.654,4.554,62,87,25,96
2.288,0.191,0.267,4.773,3.093,2.894,94,78,73,96
3.724,0.837,0.592,3.43,1.9,4.854,56,100,41,95
2.566,0.244,0.942,1.199,3.091,1.668,48,63,6,90
3.509,0.917,0.562,1.762,3.099,2.937,42,81,44,82
4.921,0.42,0.756,3.436,1.829,3.433,49,100,24,96
4.145,0.992,0.097,2.405,1.972,3.92,27,100,90,86
4.752,0.877,0.774,1.532,4.014,1.461,42,89,23,74
3.819,0.597,0.042,4.026,4.488,3.946,80,100,96,95
1.217,0.971,0.288,3.761,3.216,2.671,88,40,71,79
3.186,0.158,0.128,4.728,4.48,3.183,98,100,87,96
3.192,0.641,0.146,2.247,1.853,2.712,32,85,85,87
2.732,0.613,0.761,2.984,1.973,4.116,61,80,24,96
3.54,0.436,0.765,3.991,1.08,4.515,62,100,23,96
4.269,0.511,0.935,4.006,2.692,4.599,76,100,7,96
1.196,0.962,0.172,2.416,1.974,4.654,52,57,83,91
1.552,0.296,0.053,4.807,3.424,4.57,100,79,95,96
2.835,0.62,0.688,3.428,1.355,3.21,59,75,31,90
4.004,0.903,0.324,3.595,3.5,1.402,67,81,68,73
1.022,0.41,0.029,2.592,2.062,4.05,54,63,97,96
1.767,0.129,0.55,3.456,2.693,2.505,79,63,45,96
3.819,0.841,0.636,2.261,1.373,2.239,32,81,36,80
