weekly_label,avg_mood_score,mood_variability,journal_negative_ratio,quickcheckin_avg,low_signal_rate,stress_mean,energy_mean,recovery_score
High Strain,2.14,0.648,0.815,1.563,0.737,4.46,1.764,0.067
High Strain,1.998,0.804,0.775,1.794,0.816,4.714,1.685,0.179
High Strain,2.068,0.62,0.818,1.478,0.829,4.488,1.36,0.119
High Strain,1.956,0.752,0.81,1.772,0.845,4.808,1.706,0.285
High Strain,1.85,0.794,0.69,1.682,0.771,4.527,1.566,0.123
High Strain,1.666,0.705,0.857,1.478,0.844,4.89,1.595,0.32
High Strain,2.077,0.666,0.794,2.298,0.653,4.883,2.001,0.282
High Strain,1.891,0.868,0.705,1.638,0.713,4.29,1.818,0.069
High Strain,1.917,0.85,0.844,1.747,0.725,4.838,1.98,0.318
High Strain,1.691,0.698,0.861,1.949,0.817,4.257,1.548,0.139
High Strain,1.621,0.586,0.686,2.141,0.884,4.583,1.415,0.114
High Strain,1.395,0.713,0.898,2.078,0.826,4.4,1.53,0.097
High Strain,1.737,0.762,0.914,2.306,0.755,4.257,1.774,0.213
High Strain,1.696,0.769,0.816,1.559,0.839,4.257,1.909,0.28
High Strain,1.369,0.839,0.694,1.757,0.591,4.623,2.141,0.227
High Strain,1.617,0.558,0.889,2.175,0.905,4.262,1.691,0.25
High Strain,1.955,0.758,0.758,1.683,0.776,4.909,1.415,0.271
High Strain,2.043,0.852,0.704,1.926,0.657,4.214,2.19,0.136
High Strain,1.596,0.578,0.693,2.024,0.854,4.73,1.484,0.225
High Strain,1.472,0.773,0.847,1.645,0.819,4.219,1.945,0.334
High Strain,1.96,0.703,0.82,1.584,0.641,4.734,2.197,0.13
High Strain,1.867,0.554,0.674,2.17,0.64,4.988,2.155,0.14
High Strain,1.309,0.657,0.899,2.316,0.727,4.506,1.94,0.194
High Strain,1.967,0.642,0.724,1.663,0.796,4.952,1.506,0.312
High Strain,2.09,0.54,0.801,2.149,0.809,4.688,1.751,0.112
High Strain,1.253,0.651,0.895,1.788,0.833,4.925,1.529,0.208
High Strain,1.26,0.834,0.933,1.467,0.65,4.273,1.977,0.325
High Strain,1.3,0.724,0.899,2.024,0.887,4.513,1.498,0.226
High Strain,1.624,0.761,0.879,2.081,0.628,4.787,1.565,0.126
